Title,Price,PID,Details
"Newly Built 4 Bedroom Semi Detached Duplex With Bq 
Parkview Estate Ikoyi Lagos
 Newly Built 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 24,999,999/year",Parkview Estate Ikoyi Lagos,Newly Built 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"4 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 4 Bedroom Apartment With Bq / Flat / Apartment FOR RENT","$ 85,000/year",Old Ikoyi Ikoyi Lagos,4 Bedroom Apartment With Bq / Flat / Apartment FOR RENT
"Serviced 4 Bedroom Semi Detached Duplex With Bq 
Banana Island Estate Ikoyi Lagos
 Serviced 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 39,999,999/year",Banana Island Estate Ikoyi Lagos,Serviced 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"4 Bedroom Apartment 
Ikoyi Lagos
 4 Bedroom Apartment / Flat Apartment FOR Rent","₦ 25,000,000/year",Ikoyi Lagos,4 Bedroom Apartment / Flat Apartment FOR Rent
"Waterfront 4 Bedroom Apartment With Bq 
Banana Island Estate , Ikoyi Lagos
 Waterfront 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent","$ 60,001/year","Banana Island Estate , Ikoyi Lagos",Waterfront 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"Luxury 3 Bedroom Apartment + Bq + Gym + Pool 
Banana Island Estate Ikoyi Lagos
 Luxury 3 Bedroom Apartment + Bq + Gym + Pool / Flat Apartment FOR Rent","₦ 22,000,000/year",Banana Island Estate Ikoyi Lagos,Luxury 3 Bedroom Apartment + Bq + Gym + Pool / Flat Apartment FOR Rent
"6 Bedroom Detached Duplex With Bq 
Banana Island Estate Ikoyi Lagos
 6 Bedroom Detached Duplex With Bq / House FOR Rent","₦ 80,000,000/year",Banana Island Estate Ikoyi Lagos,6 Bedroom Detached Duplex With Bq / House FOR Rent
"4 Bedroom Terrace Duplex With Bq 
Banana Island Estate Ikoyi Lagos
 4 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 29,990,000/year",Banana Island Estate Ikoyi Lagos,4 Bedroom Terrace Duplex With Bq / House FOR Rent
"4 Bedroom Terrace Duplex With Bq 
Banana Island Estate Ikoyi Lagos
 4 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 25,000,000/year",Banana Island Estate Ikoyi Lagos,4 Bedroom Terrace Duplex With Bq / House FOR Rent
"4 Bedroom Semi Detached Duplex With Bq 
Banana Island Ikoyi Lagos
 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 35,000,000/year",Banana Island Ikoyi Lagos,4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
